verse,line,category,source,text
31,1,Commentary,Ramban on Deuteronomy 31:1:1,"AND MOSES WENT. When Moses concluded his words, all who stood before him, and the young children, and the women returned to their own tents. It was not necessary for Scripture to mention this [that they returned to their tents], for it already stated, Ye are standing this day all of you before the Eternal your G-d; (Above, 29:9.)  that thou shouldest enter into the covenant of the Eternal thy G-d, (Ibid., Verse 11.)  and [it is self-understood that] after having entered the covenant they would go away from him [Moses]. And so Scripture now states that Moses went from the camp of the Levites to the camp of the Israelites in order to show them honor, like someone who wishes to take leave of his friend and comes to ask permission of him."
31,1,Commentary,Ibn Ezra on Deuteronomy 31:1:1,"AND MOSES WENT. Moses went to each tribe and tribe to inform them that he was about to die and that they should not fear. (For they would not be left leaderless.)  He strengthened them (He encouraged them.)  with his words to Joshua. (Be strong and of good courage; for thou shalt go with this people into the land, etc.,(vs. 7,8).)  Scripture therefore afterwards reads, and thou shalt cause them to inherit it (v. 7). I believe that he then (After charging Joshua in the sight of all of Israel (v. 7).)  blessed the tribes. (While they were assembled together.)  This is so even though the blessings are recorded later. (In Deut. 33.) "
31,1,Targum,Onkelos Deuteronomy 31:1,Moshe went and he addressed these statements to all of Yisroel.
31,1,Targum,Targum Jonathan on Deuteronomy 31:1,"AND Mosheh went into the tabernacle of the house of instruction, and spake these words unto all  Israel, 
"
31,1,Commentary,Or HaChaim on Deuteronomy 31:1:1,"וילך משה, ""Moses went, etc."" We need to know where Moses went. Yonathan ben Uzziel translates that Moses went to the study hall. Other commentators such as Nachmanides and Rabbeynu Bachyah say that he went from the camp of the Levites to the encampment of the Israelites much like a man who takes leave from his friends. The wording of the Torah is vague and does not provide a clue as to where Moses actually went. Another thing we are entitled to know is who told Moses that he would die on that day. Have we not been told in Shabbat 30 that man is not informed of precisely how long he will live? If that is correct, who told Moses that he would die on that day?"
31,1,Commentary,Sforno on Deuteronomy 31:1:1,"וילך משה, he was self-propelled, just as was Amram, Moses’ father who married his aunt Yocheved, daughter of Levi, and almost certainly many years his senior. (Exodus 2,1) Another of many uses of the word וילך meaning that the person described acted of their own initiative is found in Deut. 17,3 where the Jewish idolater described had not been seduced by anyone. After having concluded the matter of the covenant between G’d and this second generation of Israelites many of whom had not been born at the time of the Exodus, Moses now proceeds to comfort the people over his impending death. He does so in order that the joy over G’d having concluded this covenant with them should not be turned into sorrow over the prospect of his impending passing from the scene. Rejoicing over having been found fit to become a party to such a covenant is something natural, the psalmist in Psalms 149,2 speaking of Israel rejoicing with or over its Maker. Being in G’d’s presence, such as here, is always a joyful experience, as is offering sacrifices to Him, as we know from Deut. 27,7.when the occasion was to mark the erecting of the stones after the successful crossing of the river Jordan.
"
31,1,Chasidut,"Kedushat Levi, Deuteronomy, Vayeilech 1","Deuteronomy 31,1. “Moses went and spoke all these ‎words to the whole people of Israel.” This verse ‎‎[seeing that the Torah does not tell us from where Moses ‎walked to where, Ed.] may become easier to understand ‎when we consider that our sages, when referring to the man ‎leading the congregation in prayer sometimes refer to him as ‎descending in front of the Ark, whereas on other occasions they ‎describe him as ‎עובר לפני התיבה‎, ”walking past” the front of the ‎Ark. When a tzaddik is engaged in prayer he needs to ‎attach himself to the letters of his prayer, i.e. ‎תיבות‎, [an alternate ‎meaning of ‎תיבה‎,] which in turn gives his prayer guidance and ‎direction as a result of which his prayers focus better on their ‎objective. There are some outstanding tzaddikim who are ‎not in need of this guidance, but on the contrary, give deeper ‎meaning to each of these letters and words. The latter type of ‎‎tzaddik was Moses, who, in the celestial hierarchy ‎represented the Matronita, as we know from the Zohar ‎where Moses is described as the Matronita’s husband in the ‎sense of “dominant companion of this Matronita who is ‎portrayed as a combination of the emanation of malchut ‎and Torah.”  At any rate, the expression ‎יורד לפני התיבה‎, “descending ‎beneath the Ark,” i.e. the word or letter, means receiving one’s ‎spiritual inspiration from above, whereas people leading the ‎congregation in prayer who are being described as ‎עובר לפני התיבה‎, ‎are presumed to be at least on the same spiritual level as the ‎‎“ark,” so that they can inspire the Ark, i.e. words or letters, with ‎some of their holiness. Moses was an individual belonging to this ‎second group of tzaddikim, so much so, that after ‎descending from Mount Sinai with the second set of the Tablets, ‎his forehead exuded so much spiritual light that he had to ‎‎“screen” it as it frightened the people who saw in him a ‎supernatural phenomenon. We have explained repeatedly that ‎the level of his prophecy was such that he saw clear visions ‎whereas other prophets saw only unclear, murky visions. ‎‎(Yevamot 49) This enabled him to relate the words G’d had ‎spoken to him, verbatim, without having to paraphrase them.‎‎ Just as Yaakov lost his prophetic ability when he was about to ‎reveal details of the eventual redemption to his children on his ‎deathbed (Genesis 49,1-2) so Moses’ prophetic pre-eminence was ‎taken away from him shortly before his death, as most of this was ‎transferred to his successor Joshua. This is why his parting “song” ‎האזינו‎, is full of allusions, many of which are difficult to decipher. ‎Our verse above alludes to the process of the transition of Moses’ ‎spiritual powers to Joshua.‎"
31,1,Commentary,"JPS 1985 Footnotes, Deuteronomy 31:1",An ancient Heb. ms. and the Septuagint read: “When Moses had finished speaking …”; cf. 29.1.
31,1,Chasidut,"Mei HaShiloach, Volume I, Deuteronomy, Vayeilech 1","“And Moshe went and spoke these words ….” (Devarim, 31:1) The verse says specifically “and Moshe went” and “going,” halicha, signifies being disturbed. (Perhaps because when one is disturbed by something he may be inclined to move his place.)  It was difficult for him to understand how man could fix the deficiency imprinted on the root of his soul from the day of his birth passed on from his mother and father, for his mother conceived him in sin. (This phrase is borrowed from Tehilim 51:7. The idea needs investigation. Was he not conceived in the mitzvah of pru u’vru, [be fruitful and multiply]? Yet this is something that is very easily contaminated because of its great holiness. So this statement, especially when someone on the level of David haMelech says it about himself, is quite revealing of the human predicament. It seems here that along with the fixings needed for physical union, he is also talking about everything inherited from our parents that needs fixing.)  However, when the commandment to gather the people was said to him (Devarim, 31:12, “Gather the people, the parents, the children … that they may learn, and fear God”), it was intimated to Moshe that man may fix the sin he is born with, which comes from his root and the root of his parents. Then joy filled his being, as it is written (Yirmiya, 4:1), “If Israel will return … return unto Me.” When a man commits a transgression, God forbid, then in his mind he is ashamed before his friend. Even though his friend does not know about it, he is anyhow uncomfortable because he feels that his friend is better than he is. This is not teshuva shleimah, complete return to the Torah. This is why the prophet said, “you shall return to Me,” meaning that one should rather be ashamed before God so as not to do something that God did not command. God commanded 613 mitzvot, and each one is advice to Israel as to how one may remove the evil desires rooted in his heart, rooted there due to the impurity of mortal existence. This is as it says in the Gemara (Kiddushin, 40b), “[Rabbi Elazar son of Rabbi Tsaddok said: What is a Tsaddik compared to in this world? A tree that exists in a place that is wholly pure,] yet part of it turns to a place of impurity.” So therefore, God gave man advice as to how he may remove himself from desires, such as the mitzvah of tsitsit, which reminds man to have the fear of God, and tefillin, which teaches of the tekifut (unbridled strength) of Kedusha, a notion previously explained (see above, Devarim, 17:13). Yet, in response to the evil attributes that are imprinted in man from the day of his birth derived from the root of his father and mother, as the prophet said (Yesahya, 48:8), “For I knew that you would surely act treacherously, and you were called a sinner from the womb,” we received the section of “gather your people” (Devarim, 31:12). This is as it says in the Gemara (Chagiga, 3a), “Why did the infants also come? To reward those who brought them.” This means, by means of the longing of the father and mother to bring words of Torah into the ears of the infant—even though he does not understand anything at all. An example of this is found in the Talmud Yerushalmi (Yevamot, 1:6), “See who teaches knowledge. Rabbi Yehoshua’s mother would bring him in his cradle into the house of study so that his ears would absorb Words of Torah.” This shows how it is possible to fix even the attributes imprinted in man from his mother’s womb. This longing on the part of the parents is called “serving the Torah is greater than studying it,” for by means of this he may heal what came before. This is “[to reward] those who brought them,” meaning that even the father and mother are also fixed by this, since it fixes what came before, namely the desire of the father and mother at the moment of conception, and then it follows that he was clean regarding his mother. When Moshe Rabeynu understood this, he was filled with simcha (joy)."
31,1,Commentary,"Tur HaArokh, Deuteronomy 31:1:1","וילך משה, “Moses went, etc.” According to Nachmanides, after the people had accepted the new covenant and had gone to their respective tents, Moses left the encampment of the Levites, where the assembly had taken place, and went to the encampment of the Israelites, to show them respect and to take his final leave of them as on that very day he was to die on Mount Nebo. It is good manners not to take one’s leave without asking his host for permission to absent oneself, and Moses adhered to this time-honoured custom. His parting words commenced with his telling the people that on that day he had attained the age of 120 years. He informed them of this in order to lessen their grief over his passing, suggesting that now that he had attained that age he would no longer be a suitable leader for them. Moreover, seeing that G’d had forbidden him to cross the river Jordan, even if he felt capable and so inclined, he could not continue to lead them.
    Our sages said that the fountains of wisdom from which Moses had drunk during the last forty years had already dried up for him, and he could no longer draw inspiration from them. (Compare Sotah 13) This was actually a miracle G’d performed for him so that he would not grieve over Joshua taking over from him at a time when he still felt perfectly competent to continue.
"
